date,target close,open,high,low,percentage
2022-08-18,4290.8,4275.41,4292.81,4261.1,0.39
2022-08-17,4274.04,4280.4,4302.18,4253.08,-0.72
2022-08-16,4305.2,4290.46,4325.28,4277.77,0.19
2022-08-15,4297.14,4269.37,4301.79,4256.9,0.4
2022-08-12,4280.15,4225.02,4280.47,4219.78,1.73
2022-08-11,4207.27,4227.4,4257.91,4201.41,-0.07
2022-08-10,4210.24,4181.02,4211.03,4177.26,2.13
2022-08-09,4122.47,4133.11,4137.3,4112.09,-0.42
2022-08-08,4140.06,4155.93,4186.62,4128.97,-0.12
2022-08-05,4145.19,4115.87,4151.58,4107.31,-0.16
2022-08-04,4151.94,4154.85,4161.29,4135.42,-0.08
2022-08-03,4155.17,4107.96,4167.66,4107.96,1.56
2022-08-02,4091.19,4104.21,4140.47,4079.81,-0.67
2022-08-01,4118.63,4112.38,4144.95,4096.02,-0.28
2022-07-29,4130.29,4087.33,4140.15,4079.22,1.42
2022-07-28,4072.43,4026.13,4078.95,3992.97,1.21
2022-07-27,4023.61,3951.43,4039.56,3951.43,2.62
2022-07-26,3921.05,3953.22,3953.22,3910.74,-1.15
2022-07-25,3966.84,3965.72,3975.3,3943.46,0.13
2022-07-22,3961.63,3998.43,4012.44,3938.86,-0.93
2022-07-21,3998.95,3955.47,3999.29,3927.64,0.99
2022-07-20,3959.9,3935.32,3974.13,3922.03,0.59
2022-07-19,3936.69,3860.73,3939.81,3860.73,2.76
2022-07-18,3830.85,3883.79,3902.44,3818.63,-0.84
2022-07-15,3863.16,3818.0,3863.62,3817.18,1.92
2022-07-14,3790.38,3763.99,3796.41,3721.56,-0.3
2022-07-13,3801.78,3779.67,3829.44,3759.07,-0.45
2022-07-12,3818.8,3851.95,3873.41,3802.36,-0.92
2022-07-11,3854.43,3880.94,3880.94,3847.22,-1.15
2022-07-08,3899.38,3888.26,3918.5,3869.34,-0.08
2022-07-07,3902.62,3858.85,3910.63,3858.85,1.5
2022-07-06,3845.08,3831.98,3870.91,3809.37,0.36
2022-07-05,3831.39,3792.61,3832.19,3742.06,0.16
2022-07-01,3825.33,3781.0,3829.82,3752.1,1.06
2022-06-30,3785.38,3785.99,3818.99,3738.67,-0.88
2022-06-29,3818.83,3825.09,3836.5,3799.02,-0.07
2022-06-28,3821.55,3913.0,3945.86,3820.14,-2.01
2022-06-27,3900.11,3920.76,3927.72,3889.66,-0.3
2022-06-24,3911.74,3821.75,3913.65,3821.75,3.06
2022-06-23,3795.73,3774.71,3802.58,3743.52,0.95
2022-06-22,3759.89,3733.89,3801.79,3717.69,-0.13
2022-06-21,3764.79,3715.31,3779.65,3715.31,2.45
2022-06-17,3674.84,3665.9,3707.71,3636.87,0.22
2022-06-16,3666.77,3728.18,3728.18,3639.77,-3.25
2022-06-15,3789.99,3764.05,3837.56,3722.3,1.46
2022-06-14,3735.48,3763.52,3778.18,3705.68,-0.38
2022-06-13,3749.63,3838.15,3838.15,3734.3,-3.88
2022-06-10,3900.86,3974.39,3974.39,3900.16,-2.91
2022-06-09,4017.82,4101.65,4119.1,4017.17,-2.38
2022-06-08,4115.77,4147.12,4160.14,4107.2,-1.08
2022-06-07,4160.68,4096.47,4164.86,4080.19,0.95
2022-06-06,4121.43,4134.72,4168.78,4109.18,0.31
2022-06-03,4108.54,4137.57,4142.67,4098.67,-1.63
2022-06-02,4176.82,4095.41,4177.51,4074.37,1.84
2022-06-01,4101.23,4149.78,4166.54,4073.85,-0.75
2022-05-31,4132.15,4151.09,4168.34,4104.88,-0.63
2022-05-27,4158.24,4077.43,4158.49,4077.43,2.47
2022-05-26,4057.84,3984.6,4075.14,3984.6,1.99
2022-05-25,3978.73,3929.59,3999.33,3925.03,0.95
2022-05-24,3941.48,3942.94,3955.68,3875.13,-0.81
2022-05-23,3973.75,3919.42,3981.88,3909.04,1.86
2022-05-20,3901.36,3927.76,3943.42,3810.32,0.01
2022-05-19,3900.79,3899.0,3945.96,3876.58,-0.58
2022-05-18,3923.68,4051.98,4051.98,3911.91,-4.04
2022-05-17,4088.85,4052.0,4090.72,4033.93,2.02
2022-05-16,4008.01,4013.02,4046.46,3983.99,-0.39
2022-05-13,4023.89,3963.9,4038.88,3963.9,2.39
2022-05-12,3930.08,3903.95,3964.8,3858.87,-0.13
2022-05-11,3935.18,3990.08,4049.09,3928.82,-1.65
2022-05-10,4001.05,4035.18,4068.82,3958.17,0.25
2022-05-09,3991.24,4081.27,4081.27,3975.48,-3.2
2022-05-06,4123.34,4128.17,4157.69,4067.91,-0.7
2022-05-05,4152.38,4255.5,4256.39,4105.51,-3.44
2022-05-04,4300.17,4181.18,4307.66,4148.91,2.99
2022-05-03,4175.48,4159.78,4200.1,4147.08,0.48
2022-05-02,4155.38,4130.61,4169.81,4062.51,0.57
2022-04-29,4131.93,4253.75,4269.68,4124.28,-3.63
2022-04-28,4287.5,4222.58,4308.45,4188.63,2.47
2022-04-27,4183.96,4186.52,4240.71,4162.9,0.21
2022-04-26,4175.2,4278.14,4278.14,4175.04,-2.81
2022-04-25,4296.12,4255.34,4299.02,4200.82,0.57
2022-04-22,4271.78,4385.83,4385.83,4267.62,-2.77
2022-04-21,4393.66,4489.17,4512.94,4384.47,-1.48
2022-04-20,4459.45,4472.26,4488.29,4448.76,-0.06
2022-04-19,4462.21,4390.63,4471.03,4390.63,1.61
2022-04-18,4391.69,4385.63,4410.31,4370.3,-0.02
2022-04-14,4392.59,4449.12,4460.46,4390.77,-1.21
2022-04-13,4446.59,4394.3,4453.92,4392.7,1.12
2022-04-12,4397.45,4437.59,4471.0,4381.34,-0.34
2022-04-11,4412.53,4462.64,4464.35,4408.38,-1.69
2022-04-08,4488.28,4494.15,4520.41,4474.6,-0.27
2022-04-07,4500.21,4474.65,4521.16,4450.3,0.43
2022-04-06,4481.15,4494.17,4503.94,4450.04,-0.97
2022-04-05,4525.12,4572.45,4593.45,4514.17,-1.26
2022-04-04,4582.64,4547.97,4583.5,4539.21,0.81
2022-04-01,4545.86,4540.32,4548.7,4507.57,0.34
2022-03-31,4530.41,4599.02,4603.07,4530.41,-1.57
2022-03-30,4602.45,4624.2,4627.77,4581.32,-0.63
2022-03-29,4631.6,4602.86,4637.3,4589.66,1.23
2022-03-28,4575.52,4541.09,4575.65,4517.69,0.71
2022-03-25,4543.04,4522.91,4546.03,4501.07,0.51
2022-03-24,4520.16,4469.98,4520.58,4465.17,1.43
2022-03-23,4456.23,4493.1,4501.07,4455.81,-1.23
2022-03-22,4511.61,4469.1,4522.0,4469.1,1.13
2022-03-21,4461.18,4462.4,4481.75,4424.3,-0.04
2022-03-18,4463.09,4407.34,4465.4,4390.57,1.17
2022-03-17,4411.67,4345.11,4412.67,4335.65,1.23
2022-03-16,4357.95,4288.14,4358.9,4251.99,2.24
2022-03-15,4262.45,4188.82,4271.05,4187.9,2.14
2022-03-14,4173.11,4202.75,4247.57,4161.72,-0.74
2022-03-11,4204.31,4279.5,4291.01,4200.49,-1.3
2022-03-10,4259.52,4252.55,4268.28,4209.8,-0.43
2022-03-09,4277.88,4223.1,4299.4,4223.1,2.57
2022-03-08,4170.62,4202.66,4276.94,4157.87,-0.73
2022-03-07,4201.09,4327.01,4327.01,4199.85,-2.95
2022-03-04,4328.87,4342.12,4342.12,4284.98,-0.79
2022-03-03,4363.49,4401.31,4416.78,4350.37,-0.53
2022-03-02,4386.54,4322.56,4401.48,4322.56,1.86
2022-03-01,4306.26,4363.14,4378.45,4279.54,-1.54
2022-02-28,4373.79,4354.17,4388.84,4315.12,-0.25
2022-02-25,4384.62,4298.38,4385.34,4286.83,2.24
2022-02-24,4288.7,4155.77,4294.73,4114.65,1.5
2022-02-23,4225.5,4324.93,4341.51,4221.51,-1.84
2022-02-22,4304.74,4332.74,4362.12,4267.11,-1.01
2022-02-18,4348.87,4384.57,4394.6,4327.22,-0.72
2022-02-17,4380.26,4456.06,4456.06,4373.81,-2.12
2022-02-16,4475.01,4455.75,4489.55,4429.68,0.09
2022-02-15,4471.07,4429.28,4472.77,4429.28,1.58
2022-02-14,4401.67,4412.61,4426.22,4364.84,-0.38
2022-02-11,4418.64,4506.27,4526.33,4401.41,-1.9
2022-02-10,4504.06,4553.24,4588.92,4484.31,-1.81
2022-02-09,4587.18,4547.0,4590.03,4547.0,1.45
2022-02-08,4521.54,4480.02,4531.32,4465.4,0.84
2022-02-07,4483.87,4505.75,4521.86,4471.47,-0.37
2022-02-04,4500.54,4482.79,4539.66,4451.5,0.52
2022-02-03,4477.44,4535.41,4542.88,4470.39,-2.44
2022-02-02,4589.32,4566.39,4595.31,4544.32,0.94
2022-02-01,4546.54,4519.57,4550.49,4483.53,0.69
2022-01-31,4515.55,4431.79,4516.89,4414.02,1.89
2022-01-28,4431.85,4336.19,4432.72,4292.46,2.43
2022-01-27,4326.5,4380.58,4428.74,4309.5,-0.54
2022-01-26,4349.93,4408.43,4453.23,4304.8,-0.15
2022-01-25,4356.45,4366.64,4411.01,4287.11,-1.22
2022-01-24,4410.13,4356.32,4417.35,4222.62,0.28
2022-01-21,4397.93,4471.38,4494.52,4395.34,-1.89
2022-01-20,4482.73,4547.35,4602.11,4477.95,-1.1
2022-01-19,4532.76,4588.03,4611.55,4530.2,-0.97
2022-01-18,4577.34,4632.24,4632.24,4568.7,-1.83
2022-01-14,4662.85,4637.99,4665.13,4614.75,0.08
2022-01-13,4659.02,4733.56,4744.13,4650.29,-1.42
2022-01-12,4726.35,4728.59,4748.83,4706.71,0.28
2022-01-11,4713.07,4669.14,4714.13,4638.27,0.92
2022-01-10,4670.29,4655.34,4673.02,4582.24,-0.14
2022-01-07,4677.02,4697.66,4707.95,4662.74,-0.41
2022-01-06,4696.05,4693.39,4725.01,4671.26,-0.1
2022-01-05,4700.58,4787.99,4797.7,4699.44,-1.94
2022-01-04,4793.54,4804.51,4818.62,4774.27,-0.06
2022-01-03,4796.56,4778.14,4796.64,4758.17,0.64
2021-12-31,4766.18,4775.21,4786.83,4765.75,-0.26
2021-12-30,4778.73,4794.23,4808.93,4775.33,-0.3
2021-12-29,4793.06,4788.64,4804.06,4778.08,0.14
2021-12-28,4786.36,4795.49,4807.02,4780.04,-0.1
2021-12-27,4791.19,4733.99,4791.49,4733.99,1.38
2021-12-23,4725.78,4703.96,4740.74,4703.96,0.62
2021-12-22,4696.56,4650.36,4697.67,4645.53,1.02
2021-12-21,4649.23,4594.96,4651.14,4583.16,1.78
2021-12-20,4568.02,4587.9,4587.9,4531.1,-1.14
2021-12-17,4620.64,4652.5,4666.7,4600.22,-1.03
2021-12-16,4668.67,4719.13,4731.99,4651.89,-0.87
2021-12-15,4709.84,4636.46,4712.6,4611.22,1.63
2021-12-14,4634.09,4642.99,4660.47,4606.52,-0.75
2021-12-13,4669.15,4710.3,4710.3,4667.6,-0.91
2021-12-10,4712.02,4687.64,4713.57,4670.24,0.95
2021-12-09,4667.45,4691.0,4695.26,4665.98,-0.72
2021-12-08,4701.21,4690.86,4705.06,4674.52,0.31
2021-12-07,4686.75,4631.97,4694.04,4631.97,2.07
2021-12-06,4591.67,4548.37,4612.6,4540.51,1.17
2021-12-03,4538.43,4589.49,4608.03,4495.12,-0.84
2021-12-02,4577.1,4504.73,4595.46,4504.73,1.42
2021-12-01,4513.04,4602.82,4652.94,4510.27,-1.18
2021-11-30,4567.0,4640.25,4646.02,4560.0,-1.9
2021-11-29,4655.27,4628.75,4672.95,4625.26,1.32
2021-11-26,4594.62,4664.63,4664.63,4585.43,-2.27
2021-11-24,4701.46,4675.78,4702.87,4659.89,0.23
2021-11-23,4690.7,4678.48,4699.39,4652.66,0.17
2021-11-22,4682.95,4712.0,4743.83,4682.17,-0.32
2021-11-19,4697.96,4708.44,4717.75,4694.22,-0.18
2021-11-18,4706.64,4700.72,4708.75,4672.78,0.38
2021-11-17,4688.67,4701.5,4701.5,4684.41,-0.26
2021-11-16,4700.9,4679.42,4714.95,4679.42,0.39
2021-11-15,4682.81,4689.3,4697.42,4672.86,0.0
2021-11-12,4682.85,4655.24,4688.47,4650.77,0.72
2021-11-11,4649.27,4659.39,4664.55,4648.31,0.06
2021-11-10,4646.71,4670.26,4684.85,4630.86,-0.82
2021-11-09,4685.25,4707.25,4708.53,4670.87,-0.35
2021-11-08,4701.7,4701.48,4714.92,4694.39,0.09
2021-11-05,4697.53,4699.26,4718.5,4681.32,0.37
2021-11-04,4680.06,4662.93,4683.0,4662.59,0.42
2021-11-03,4660.57,4630.65,4663.46,4621.19,0.65
2021-11-02,4630.65,4613.34,4635.15,4613.34,0.37
2021-11-01,4613.67,4610.62,4620.34,4595.06,0.18
2021-10-29,4605.38,4572.87,4608.08,4567.59,0.19
2021-10-28,4596.42,4562.84,4597.55,4562.84,0.98
2021-10-27,4551.68,4580.22,4584.57,4551.66,-0.51
2021-10-26,4574.79,4578.69,4598.53,4569.17,0.18
2021-10-25,4566.48,4553.69,4572.62,4537.36,0.47
2021-10-22,4544.9,4546.12,4559.67,4524.0,-0.11
2021-10-21,4549.78,4532.24,4551.44,4526.89,0.3
2021-10-20,4536.19,4524.42,4540.87,4524.4,0.37
2021-10-19,4519.63,4497.34,4520.4,4496.41,0.74
2021-10-18,4486.48,4463.72,4488.75,4447.47,0.34
2021-10-15,4471.37,4447.69,4475.82,4447.69,0.75
2021-10-14,4438.23,4386.75,4439.73,4386.75,1.71
2021-10-13,4363.8,4358.01,4372.87,4329.92,0.3
2021-10-12,4350.64,4368.31,4374.89,4342.09,-0.24
2021-10-11,4361.19,4385.44,4415.88,4360.59,-0.69
2021-10-08,4391.36,4406.51,4412.02,4386.22,-0.19
2021-10-07,4399.76,4383.73,4429.97,4383.73,0.83
2021-10-06,4363.55,4319.57,4365.57,4290.49,0.41
2021-10-05,4345.72,4309.87,4369.23,4309.87,1.05
2021-10-04,4300.46,4348.84,4355.51,4278.94,-1.3
2021-10-01,4357.05,4317.16,4375.19,4288.52,1.15
2021-09-30,4307.54,4370.67,4382.55,4306.24,-1.19
2021-09-29,4359.46,4362.41,4385.57,4355.08,0.16
2021-09-28,4352.63,4419.54,4419.54,4346.33,-2.04
2021-09-27,4443.11,4442.12,4457.3,4436.19,-0.28
2021-09-24,4455.48,4438.04,4463.12,4430.27,0.15
2021-09-23,4448.98,4406.75,4465.4,4406.75,1.21
2021-09-22,4395.64,4367.43,4416.75,4367.43,0.95
2021-09-21,4354.18,4374.45,4394.87,4347.96,-0.08
2021-09-20,4357.73,4402.95,4402.95,4305.91,-1.7
2021-09-17,4432.99,4469.74,4471.52,4427.76,-0.91
2021-09-16,4473.76,4477.09,4485.87,4443.8,-0.15
2021-09-15,4480.7,4447.49,4486.87,4438.37,0.85
2021-09-14,4443.05,4479.33,4485.68,4435.46,-0.57
2021-09-13,4468.73,4474.81,4492.99,4445.7,0.23
2021-09-10,4458.58,4506.92,4520.47,4457.66,-0.77
2021-09-09,4493.28,4513.02,4529.9,4492.07,-0.46
2021-09-08,4514.07,4518.09,4521.79,4493.95,-0.13
2021-09-07,4520.03,4535.38,4535.38,4513.0,-0.34
2021-09-03,4535.43,4532.42,4541.45,4521.3,-0.03
2021-09-02,4536.95,4534.48,4545.85,4524.66,0.28
2021-09-01,4524.09,4528.8,4537.11,4522.02,0.03
2021-08-31,4522.68,4529.75,4531.39,4515.8,-0.13
2021-08-30,4528.79,4513.76,4537.36,4513.76,0.43
2021-08-27,4509.37,4474.1,4513.33,4474.1,0.88
2021-08-26,4469.91,4493.75,4495.9,4468.99,-0.58
2021-08-25,4496.19,4490.45,4501.71,4485.66,0.22
2021-08-24,4486.23,4484.4,4492.81,4482.28,0.15
2021-08-23,4479.54,4450.29,4489.88,4450.29,0.85
2021-08-20,4441.67,4410.56,4444.35,4406.8,0.81
2021-08-19,4405.8,4382.44,4418.61,4367.73,0.13
2021-08-18,4400.27,4440.94,4454.32,4397.59,-1.07
2021-08-17,4448.08,4462.12,4462.12,4417.83,-0.7
2021-08-16,4479.66,4461.65,4480.26,4437.66,0.26
2021-08-13,4468.0,4464.84,4468.37,4460.82,0.16
2021-08-12,4460.84,4446.08,4461.77,4435.96,0.3
2021-08-11,4447.7,4442.18,4449.44,4436.42,0.25
2021-08-10,4436.75,4435.79,4445.21,4430.03,0.1
2021-08-09,4432.35,4437.77,4439.39,4424.74,-0.09
2021-08-06,4436.52,4429.07,4440.82,4429.07,0.17
2021-08-05,4429.1,4408.86,4429.76,4408.86,0.6
2021-08-04,4402.68,4415.95,4416.17,4400.23,-0.46
2021-08-03,4423.15,4392.74,4423.79,4373.0,0.82
2021-08-02,4387.11,4406.86,4422.18,4384.81,-0.19
2021-07-30,4395.26,4395.12,4412.25,4389.65,-0.54
2021-07-29,4419.15,4403.59,4429.97,4403.59,0.42
2021-07-28,4400.65,4402.95,4415.47,4387.01,-0.02
2021-07-27,4401.46,4416.38,4416.38,4372.51,-0.47
2021-07-26,4422.23,4409.58,4422.73,4405.45,0.24
2021-07-23,4411.8,4381.2,4415.18,4381.2,1.01
2021-07-22,4367.48,4361.27,4369.31,4350.06,0.2
2021-07-21,4358.69,4331.13,4359.7,4331.13,0.82
2021-07-20,4323.21,4265.11,4336.84,4262.05,1.52
2021-07-19,4258.63,4296.4,4296.4,4233.13,-1.58
2021-07-16,4327.16,4367.43,4375.09,4322.53,-0.75
2021-07-15,4360.03,4369.02,4369.02,4340.7,-0.33
2021-07-14,4374.3,4380.11,4393.68,4362.36,0.12
2021-07-13,4369.21,4381.07,4392.37,4366.92,-0.35
2021-07-12,4384.63,4372.41,4386.68,4364.03,0.35
2021-07-09,4369.55,4329.38,4371.6,4329.38,1.13
2021-07-08,4320.82,4321.07,4330.88,4289.37,-0.86
2021-07-07,4358.13,4351.01,4361.88,4329.79,0.34
2021-07-06,4343.54,4356.46,4356.46,4314.37,-0.2
2021-07-02,4352.34,4326.6,4355.43,4326.6,0.75
2021-07-01,4319.94,4300.73,4320.66,4300.73,0.52
2021-06-30,4297.5,4290.65,4302.43,4287.96,0.13
2021-06-29,4291.8,4293.21,4300.52,4287.04,0.03
2021-06-28,4290.61,4284.9,4292.14,4274.67,0.23
2021-06-25,4280.7,4274.45,4286.12,4271.16,0.33
2021-06-24,4266.49,4256.97,4271.28,4256.97,0.58
2021-06-23,4241.84,4249.27,4256.6,4241.43,-0.11
2021-06-22,4246.44,4224.61,4255.84,4217.27,0.51
2021-06-21,4224.79,4173.4,4226.24,4173.4,1.4
2021-06-18,4166.45,4204.78,4204.78,4164.4,-1.31
2021-06-17,4221.86,4220.37,4232.29,4196.05,-0.04
2021-06-16,4223.7,4248.87,4251.89,4202.45,-0.54
2021-06-15,4246.59,4255.28,4257.16,4238.35,-0.2
2021-06-14,4255.15,4248.31,4255.59,4234.07,0.18
2021-06-11,4247.44,4242.9,4248.38,4232.25,0.19
2021-06-10,4239.18,4228.56,4249.74,4220.34,0.47
2021-06-09,4219.55,4232.99,4237.09,4218.74,-0.18
2021-06-08,4227.26,4233.81,4236.74,4208.41,0.02
2021-06-07,4226.52,4229.34,4232.34,4215.66,-0.08
2021-06-04,4229.89,4206.05,4233.45,4206.05,0.88
2021-06-03,4192.85,4191.43,4204.39,4167.93,-0.36
2021-06-02,4208.12,4206.82,4217.37,4198.27,0.14
2021-06-01,4202.04,4216.52,4234.12,4197.59,-0.05
2021-05-28,4204.11,4210.77,4218.36,4203.57,0.08
2021-05-27,4200.88,4201.94,4213.38,4197.78,0.12
2021-05-26,4195.99,4191.59,4202.61,4184.11,0.19
2021-05-25,4188.13,4205.94,4213.42,4182.52,-0.21
2021-05-24,4197.05,4170.16,4209.52,4170.16,0.99
2021-05-21,4155.86,4168.61,4188.72,4151.72,-0.08
2021-05-20,4159.12,4121.97,4172.8,4121.97,1.06
2021-05-19,4115.68,4098.45,4116.93,4061.41,-0.29
2021-05-18,4127.83,4165.94,4169.15,4125.99,-0.85
2021-05-17,4163.29,4169.92,4171.92,4142.69,-0.25
2021-05-14,4173.85,4129.58,4183.13,4129.58,1.49
2021-05-13,4112.5,4074.99,4131.58,4074.99,1.22
2021-05-12,4063.04,4130.55,4134.73,4056.88,-2.14
2021-05-11,4152.1,4150.34,4162.04,4111.53,-0.87
2021-05-10,4188.43,4228.29,4236.39,4188.13,-1.04
2021-05-07,4232.6,4210.34,4238.04,4201.64,0.74
2021-05-06,4201.62,4169.14,4202.7,4147.33,0.82
2021-05-05,4167.59,4177.06,4187.72,4160.94,0.07
2021-05-04,4164.66,4179.04,4179.04,4128.59,-0.67
2021-05-03,4192.66,4191.98,4209.39,4188.03,0.27
2021-04-30,4181.17,4198.1,4198.1,4174.85,-0.72
2021-04-29,4211.47,4206.14,4218.78,4176.81,0.68
2021-04-28,4183.18,4185.14,4201.53,4181.78,-0.08
2021-04-27,4186.72,4188.25,4193.35,4176.22,-0.02
2021-04-26,4187.62,4185.03,4194.19,4182.36,0.18
2021-04-23,4180.17,4138.78,4194.17,4138.78,1.09
2021-04-22,4134.98,4170.46,4179.57,4123.69,-0.92
2021-04-21,4173.42,4128.42,4175.02,4126.35,0.93
2021-04-20,4134.94,4159.18,4159.18,4118.38,-0.68
2021-04-19,4163.26,4179.8,4180.81,4150.47,-0.53
2021-04-16,4185.47,4174.14,4191.31,4170.75,0.36
2021-04-15,4170.42,4139.76,4173.49,4139.76,1.11
2021-04-14,4124.66,4141.58,4151.69,4120.87,-0.41
2021-04-13,4141.59,4130.1,4148.0,4124.43,0.33
2021-04-12,4127.99,4124.71,4131.76,4114.82,-0.02
2021-04-09,4128.8,4096.11,4129.48,4095.51,0.77
2021-04-08,4097.17,4089.95,4098.19,4082.54,0.42
2021-04-07,4079.95,4074.29,4083.13,4068.31,0.15
2021-04-06,4073.94,4075.57,4086.23,4068.14,-0.1
2021-04-05,4077.91,4034.44,4083.42,4034.44,1.44
2021-04-01,4019.87,3992.78,4020.63,3992.78,1.18
2021-03-31,3972.89,3967.25,3994.41,3966.98,0.36
2021-03-30,3958.55,3963.34,3968.01,3944.35,-0.32
2021-03-29,3971.09,3969.31,3981.83,3943.25,-0.09
2021-03-26,3974.54,3917.12,3978.19,3917.12,1.66
2021-03-25,3909.52,3879.34,3919.54,3853.5,0.52
2021-03-24,3889.14,3919.93,3942.08,3889.07,-0.55
2021-03-23,3910.52,3937.6,3949.13,3901.57,-0.76
2021-03-22,3940.59,3916.48,3955.31,3914.16,0.7
